category,funny,lazy,cute,playful,loyal,loud,friendly,smart,prob
hyena,2,0,1,0,2,1,0,2,1.1327576254828448e-7
hyena,2,0,1,0,2,1,1,0,1.1327576254828448e-7
hyena,2,0,1,0,2,1,1,1,1.1327576254828448e-7
hyena,2,0,1,0,2,1,1,2,1.1327576254828448e-7
hyena,2,0,1,0,2,1,2,0,1.1327576254828448e-7
hyena,2,0,1,0,2,1,2,1,1.1327576254828448e-7
hyena,2,0,1,0,2,1,2,2,1.1327576254828448e-7
hyena,2,0,1,0,2,2,0,0,1.1327576254828448e-7
hyena,2,0,1,0,2,2,0,1,1.1327576254828448e-7
hyena,2,0,1,0,2,2,0,2,1.1327576254828448e-7
hyena,2,0,1,0,2,2,1,0,1.1327576254828448e-7
hyena,2,0,1,0,2,2,1,1,1.1327576254828448e-7
hyena,2,0,1,0,2,2,1,2,1.1327576254828448e-7
hyena,2,0,1,0,2,2,2,0,1.1327576254828448e-7
hyena,2,0,1,0,2,2,2,1,1.1327576254828448e-7
hyena,2,0,1,0,2,2,2,2,1.1327576254828448e-7
hyena,2,0,1,1,0,0,0,0,1.1327576254828448e-7
hyena,2,0,1,1,0,0,0,1,1.1327576254828448e-7
hyena,2,0,1,1,0,0,0,2,1.1327576254828448e-7
hyena,2,0,1,1,0,0,1,0,1.1327576254828448e-7
hyena,2,0,1,1,0,0,1,1,1.1327576254828448e-7
hyena,2,0,1,1,0,0,1,2,1.1327576254828448e-7
hyena,2,0,1,1,0,0,2,0,1.1327576254828448e-7
hyena,2,0,1,1,0,0,2,1,1.1327576254828448e-7
hyena,2,0,1,1,0,0,2,2,1.1327576254828448e-7
hyena,2,0,1,1,0,1,0,0,1.1327576254828448e-7
hyena,2,0,1,1,0,1,0,1,1.1327576254828448e-7
hyena,2,0,1,1,0,1,0,2,1.1327576254828448e-7
hyena,2,0,1,1,0,1,1,0,1.1327576254828448e-7
hyena,2,0,1,1,0,1,1,1,1.1327576254828448e-7
hyena,2,0,1,1,0,1,1,2,1.1327576254828448e-7
hyena,2,0,1,1,0,1,2,0,1.1327576254828448e-7
hyena,2,0,1,1,0,1,2,1,1.1327576254828448e-7
hyena,2,0,1,1,0,1,2,2,1.1327576254828448e-7
hyena,2,0,1,1,0,2,0,0,1.1327576254828448e-7
hyena,2,0,1,1,0,2,0,1,1.1327576254828448e-7
hyena,2,0,1,1,0,2,0,2,1.1327576254828448e-7
hyena,2,0,1,1,0,2,1,0,1.1327576254828448e-7
hyena,2,0,1,1,0,2,1,1,1.1327576254828448e-7
hyena,2,0,1,1,0,2,1,2,1.1327576254828448e-7
hyena,2,0,1,1,0,2,2,0,1.1327576254828448e-7
hyena,2,0,1,1,0,2,2,1,1.1327576254828448e-7
hyena,2,0,1,1,0,2,2,2,1.1327576254828448e-7
hyena,2,0,1,1,1,0,0,0,1.1327576254828448e-7
hyena,2,0,1,1,1,0,0,1,1.1327576254828448e-7
hyena,2,0,1,1,1,0,0,2,1.1327576254828448e-7
hyena,2,0,1,1,1,0,1,0,1.1327576254828448e-7
hyena,2,0,1,1,1,0,1,1,1.1327576254828448e-7
hyena,2,0,1,1,1,0,1,2,1.1327576254828448e-7
hyena,2,0,1,1,1,0,2,0,1.1327576254828448e-7
hyena,2,0,1,1,1,0,2,1,1.1327576254828448e-7
hyena,2,0,1,1,1,0,2,2,1.1327576254828448e-7
hyena,2,0,1,1,1,1,0,0,1.1327576254828448e-7
hyena,2,0,1,1,1,1,0,1,1.1327576254828448e-7
hyena,2,0,1,1,1,1,0,2,1.1327576254828448e-7
hyena,2,0,1,1,1,1,1,0,1.1327576254828448e-7
hyena,2,0,1,1,1,1,1,1,1.1327576254828448e-7
hyena,2,0,1,1,1,1,1,2,1.1327576254828448e-7
hyena,2,0,1,1,1,1,2,0,1.1327576254828448e-7
hyena,2,0,1,1,1,1,2,1,1.1327576254828448e-7
hyena,2,0,1,1,1,1,2,2,1.1327576254828448e-7
hyena,2,0,1,1,1,2,0,0,1.1327576254828448e-7
hyena,2,0,1,1,1,2,0,1,1.1327576254828448e-7
hyena,2,0,1,1,1,2,0,2,1.1327576254828448e-7
hyena,2,0,1,1,1,2,1,0,1.1327576254828448e-7
hyena,2,0,1,1,1,2,1,1,1.1327576254828448e-7
hyena,2,0,1,1,1,2,1,2,1.1327576254828448e-7
hyena,2,0,1,1,1,2,2,0,1.1327576254828448e-7
hyena,2,0,1,1,1,2,2,1,1.1327576254828448e-7
hyena,2,0,1,1,1,2,2,2,1.1327576254828448e-7
hyena,2,0,1,1,2,0,0,0,1.1327576254828448e-7
hyena,2,0,1,1,2,0,0,1,1.1327576254828448e-7
hyena,2,0,1,1,2,0,0,2,1.1327576254828448e-7
hyena,2,0,1,1,2,0,1,0,1.1327576254828448e-7
hyena,2,0,1,1,2,0,1,1,1.1327576254828448e-7
hyena,2,0,1,1,2,0,1,2,1.1327576254828448e-7
hyena,2,0,1,1,2,0,2,0,1.1327576254828448e-7
hyena,2,0,1,1,2,0,2,1,1.1327576254828448e-7
hyena,2,0,1,1,2,0,2,2,1.1327576254828448e-7
hyena,2,0,1,1,2,1,0,0,1.1327576254828448e-7
hyena,2,0,1,1,2,1,0,1,1.1327576254828448e-7
hyena,2,0,1,1,2,1,0,2,1.1327576254828448e-7
hyena,2,0,1,1,2,1,1,0,1.1327576254828448e-7
hyena,2,0,1,1,2,1,1,1,1.1327576254828448e-7
hyena,2,0,1,1,2,1,1,2,1.1327576254828448e-7
hyena,2,0,1,1,2,1,2,0,1.1327576254828448e-7
hyena,2,0,1,1,2,1,2,1,1.1327576254828448e-7
hyena,2,0,1,1,2,1,2,2,1.1327576254828448e-7
hyena,2,0,1,1,2,2,0,0,1.1327576254828448e-7
hyena,2,0,1,1,2,2,0,1,1.1327576254828448e-7
hyena,2,0,1,1,2,2,0,2,1.1327576254828448e-7
hyena,2,0,1,1,2,2,1,0,1.1327576254828448e-7
hyena,2,0,1,1,2,2,1,1,1.1327576254828448e-7
hyena,2,0,1,1,2,2,1,2,1.1327576254828448e-7
hyena,2,0,1,1,2,2,2,0,1.1327576254828448e-7
hyena,2,0,1,1,2,2,2,1,1.1327576254828448e-7
hyena,2,0,1,1,2,2,2,2,1.1327576254828448e-7
hyena,2,0,1,2,0,0,0,0,1.1327576254828448e-7
hyena,2,0,1,2,0,0,0,1,1.1327576254828448e-7
hyena,2,0,1,2,0,0,0,2,1.1327576254828448e-7
hyena,2,0,1,2,0,0,1,0,1.1327576254828448e-7
hyena,2,0,1,2,0,0,1,1,1.1327576254828448e-7
hyena,2,0,1,2,0,0,1,2,1.1327576254828448e-7
hyena,2,0,1,2,0,0,2,0,1.1327576254828448e-7
hyena,2,0,1,2,0,0,2,1,1.1327576254828448e-7
hyena,2,0,1,2,0,0,2,2,1.1327576254828448e-7
hyena,2,0,1,2,0,1,0,0,1.1327576254828448e-7
hyena,2,0,1,2,0,1,0,1,1.1327576254828448e-7
hyena,2,0,1,2,0,1,0,2,1.1327576254828448e-7
hyena,2,0,1,2,0,1,1,0,1.1327576254828448e-7
hyena,2,0,1,2,0,1,1,1,1.1327576254828448e-7
hyena,2,0,1,2,0,1,1,2,1.1327576254828448e-7
hyena,2,0,1,2,0,1,2,0,1.1327576254828448e-7
hyena,2,0,1,2,0,1,2,1,1.1327576254828448e-7
hyena,2,0,1,2,0,1,2,2,1.1327576254828448e-7
hyena,2,0,1,2,0,2,0,0,1.1327576254828448e-7
hyena,2,0,1,2,0,2,0,1,1.1327576254828448e-7
hyena,2,0,1,2,0,2,0,2,1.1327576254828448e-7
hyena,2,0,1,2,0,2,1,0,1.1327576254828448e-7
hyena,2,0,1,2,0,2,1,1,1.1327576254828448e-7
hyena,2,0,1,2,0,2,1,2,1.1327576254828448e-7
hyena,2,0,1,2,0,2,2,0,1.1327576254828448e-7
hyena,2,0,1,2,0,2,2,1,1.1327576254828448e-7
hyena,2,0,1,2,0,2,2,2,1.1327576254828448e-7
hyena,2,0,1,2,1,0,0,0,1.1327576254828448e-7
hyena,2,0,1,2,1,0,0,1,1.1327576254828448e-7
hyena,2,0,1,2,1,0,0,2,1.1327576254828448e-7
hyena,2,0,1,2,1,0,1,0,1.1327576254828448e-7
hyena,2,0,1,2,1,0,1,1,1.1327576254828448e-7
hyena,2,0,1,2,1,0,1,2,1.1327576254828448e-7
hyena,2,0,1,2,1,0,2,0,1.1327576254828448e-7
hyena,2,0,1,2,1,0,2,1,1.1327576254828448e-7
hyena,2,0,1,2,1,0,2,2,1.1327576254828448e-7
hyena,2,0,1,2,1,1,0,0,1.1327576254828448e-7
hyena,2,0,1,2,1,1,0,1,1.1327576254828448e-7
hyena,2,0,1,2,1,1,0,2,1.1327576254828448e-7
hyena,2,0,1,2,1,1,1,0,1.1327576254828448e-7
hyena,2,0,1,2,1,1,1,1,1.1327576254828448e-7
hyena,2,0,1,2,1,1,1,2,1.1327576254828448e-7
hyena,2,0,1,2,1,1,2,0,1.1327576254828448e-7
hyena,2,0,1,2,1,1,2,1,1.1327576254828448e-7
hyena,2,0,1,2,1,1,2,2,1.1327576254828448e-7
hyena,2,0,1,2,1,2,0,0,1.1327576254828448e-7
hyena,2,0,1,2,1,2,0,1,1.1327576254828448e-7
hyena,2,0,1,2,1,2,0,2,1.1327576254828448e-7
hyena,2,0,1,2,1,2,1,0,1.1327576254828448e-7
hyena,2,0,1,2,1,2,1,1,1.1327576254828448e-7
hyena,2,0,1,2,1,2,1,2,1.1327576254828448e-7
hyena,2,0,1,2,1,2,2,0,1.1327576254828448e-7
hyena,2,0,1,2,1,2,2,1,1.1327576254828448e-7
hyena,2,0,1,2,1,2,2,2,1.1327576254828448e-7
hyena,2,0,1,2,2,0,0,0,1.1327576254828448e-7
hyena,2,0,1,2,2,0,0,1,1.1327576254828448e-7
hyena,2,0,1,2,2,0,0,2,1.1327576254828448e-7
hyena,2,0,1,2,2,0,1,0,1.1327576254828448e-7
hyena,2,0,1,2,2,0,1,1,1.1327576254828448e-7
hyena,2,0,1,2,2,0,1,2,1.1327576254828448e-7
hyena,2,0,1,2,2,0,2,0,1.1327576254828448e-7
hyena,2,0,1,2,2,0,2,1,1.1327576254828448e-7
hyena,2,0,1,2,2,0,2,2,1.1327576254828448e-7
hyena,2,0,1,2,2,1,0,0,1.1327576254828448e-7
hyena,2,0,1,2,2,1,0,1,1.1327576254828448e-7
hyena,2,0,1,2,2,1,0,2,1.1327576254828448e-7
hyena,2,0,1,2,2,1,1,0,1.1327576254828448e-7
hyena,2,0,1,2,2,1,1,1,1.1327576254828448e-7
hyena,2,0,1,2,2,1,1,2,1.1327576254828448e-7
hyena,2,0,1,2,2,1,2,0,1.1327576254828448e-7
hyena,2,0,1,2,2,1,2,1,1.1327576254828448e-7
hyena,2,0,1,2,2,1,2,2,1.1327576254828448e-7
hyena,2,0,1,2,2,2,0,0,1.1327576254828448e-7
hyena,2,0,1,2,2,2,0,1,1.1327576254828448e-7
hyena,2,0,1,2,2,2,0,2,1.1327576254828448e-7
hyena,2,0,1,2,2,2,1,0,1.1327576254828448e-7
hyena,2,0,1,2,2,2,1,1,1.1327576254828448e-7
hyena,2,0,1,2,2,2,1,2,1.1327576254828448e-7
hyena,2,0,1,2,2,2,2,0,1.1327576254828448e-7
hyena,2,0,1,2,2,2,2,1,1.1327576254828448e-7
hyena,2,0,1,2,2,2,2,2,1.1327576254828448e-7
hyena,2,0,2,0,0,0,0,0,5.744558230142104e-8
hyena,2,0,2,0,0,0,0,1,5.744558230142104e-8
hyena,2,0,2,0,0,0,0,2,5.744558230142104e-8
hyena,2,0,2,0,0,0,1,0,5.744558230142104e-8
hyena,2,0,2,0,0,0,1,1,5.744558230142104e-8
hyena,2,0,2,0,0,0,1,2,5.744558230142104e-8
hyena,2,0,2,0,0,0,2,0,5.744558230142104e-8
hyena,2,0,2,0,0,0,2,1,5.744558230142104e-8
hyena,2,0,2,0,0,0,2,2,5.744558230142104e-8
hyena,2,0,2,0,0,1,0,0,5.744558230142104e-8
hyena,2,0,2,0,0,1,0,1,5.744558230142104e-8
hyena,2,0,2,0,0,1,0,2,5.744558230142104e-8
hyena,2,0,2,0,0,1,1,0,5.744558230142104e-8
hyena,2,0,2,0,0,1,1,1,5.744558230142104e-8
hyena,2,0,2,0,0,1,1,2,5.744558230142104e-8
hyena,2,0,2,0,0,1,2,0,5.744558230142104e-8
hyena,2,0,2,0,0,1,2,1,5.744558230142104e-8
hyena,2,0,2,0,0,1,2,2,5.744558230142104e-8
hyena,2,0,2,0,0,2,0,0,5.744558230142104e-8
hyena,2,0,2,0,0,2,0,1,5.744558230142104e-8
hyena,2,0,2,0,0,2,0,2,5.744558230142104e-8
hyena,2,0,2,0,0,2,1,0,5.744558230142104e-8
hyena,2,0,2,0,0,2,1,1,5.744558230142104e-8
hyena,2,0,2,0,0,2,1,2,5.744558230142104e-8
hyena,2,0,2,0,0,2,2,0,5.744558230142104e-8
hyena,2,0,2,0,0,2,2,1,5.744558230142104e-8
hyena,2,0,2,0,0,2,2,2,5.744558230142104e-8
hyena,2,0,2,0,1,0,0,0,5.744558230142104e-8
hyena,2,0,2,0,1,0,0,1,5.744558230142104e-8
hyena,2,0,2,0,1,0,0,2,5.744558230142104e-8
hyena,2,0,2,0,1,0,1,0,5.744558230142104e-8
hyena,2,0,2,0,1,0,1,1,5.744558230142104e-8
hyena,2,0,2,0,1,0,1,2,5.744558230142104e-8
hyena,2,0,2,0,1,0,2,0,5.744558230142104e-8
hyena,2,0,2,0,1,0,2,1,5.744558230142104e-8
hyena,2,0,2,0,1,0,2,2,5.744558230142104e-8
hyena,2,0,2,0,1,1,0,0,5.744558230142104e-8
hyena,2,0,2,0,1,1,0,1,5.744558230142104e-8
hyena,2,0,2,0,1,1,0,2,5.744558230142104e-8
hyena,2,0,2,0,1,1,1,0,5.744558230142104e-8
hyena,2,0,2,0,1,1,1,1,5.744558230142104e-8
hyena,2,0,2,0,1,1,1,2,5.744558230142104e-8
hyena,2,0,2,0,1,1,2,0,5.744558230142104e-8
hyena,2,0,2,0,1,1,2,1,5.744558230142104e-8
hyena,2,0,2,0,1,1,2,2,5.744558230142104e-8
hyena,2,0,2,0,1,2,0,0,5.744558230142104e-8
hyena,2,0,2,0,1,2,0,1,5.744558230142104e-8
hyena,2,0,2,0,1,2,0,2,5.744558230142104e-8
hyena,2,0,2,0,1,2,1,0,5.744558230142104e-8
hyena,2,0,2,0,1,2,1,1,5.744558230142104e-8
hyena,2,0,2,0,1,2,1,2,5.744558230142104e-8
hyena,2,0,2,0,1,2,2,0,5.744558230142104e-8
hyena,2,0,2,0,1,2,2,1,5.744558230142104e-8
hyena,2,0,2,0,1,2,2,2,5.744558230142104e-8
hyena,2,0,2,0,2,0,0,0,5.744558230142104e-8
hyena,2,0,2,0,2,0,0,1,5.744558230142104e-8
hyena,2,0,2,0,2,0,0,2,5.744558230142104e-8
hyena,2,0,2,0,2,0,1,0,5.744558230142104e-8
hyena,2,0,2,0,2,0,1,1,5.744558230142104e-8
hyena,2,0,2,0,2,0,1,2,5.744558230142104e-8
hyena,2,0,2,0,2,0,2,0,5.744558230142104e-8
hyena,2,0,2,0,2,0,2,1,5.744558230142104e-8
hyena,2,0,2,0,2,0,2,2,5.744558230142104e-8
hyena,2,0,2,0,2,1,0,0,5.744558230142104e-8
hyena,2,0,2,0,2,1,0,1,5.744558230142104e-8
hyena,2,0,2,0,2,1,0,2,5.744558230142104e-8
hyena,2,0,2,0,2,1,1,0,5.744558230142104e-8
hyena,2,0,2,0,2,1,1,1,5.744558230142104e-8
hyena,2,0,2,0,2,1,1,2,5.744558230142104e-8
hyena,2,0,2,0,2,1,2,0,5.744558230142104e-8
hyena,2,0,2,0,2,1,2,1,5.744558230142104e-8
hyena,2,0,2,0,2,1,2,2,5.744558230142104e-8
hyena,2,0,2,0,2,2,0,0,5.744558230142104e-8
hyena,2,0,2,0,2,2,0,1,5.744558230142104e-8
hyena,2,0,2,0,2,2,0,2,5.744558230142104e-8
hyena,2,0,2,0,2,2,1,0,5.744558230142104e-8
hyena,2,0,2,0,2,2,1,1,5.744558230142104e-8
hyena,2,0,2,0,2,2,1,2,5.744558230142104e-8
hyena,2,0,2,0,2,2,2,0,5.744558230142104e-8
hyena,2,0,2,0,2,2,2,1,5.744558230142104e-8
hyena,2,0,2,0,2,2,2,2,5.744558230142104e-8
hyena,2,0,2,1,0,0,0,0,5.744558230142104e-8
hyena,2,0,2,1,0,0,0,1,5.744558230142104e-8
hyena,2,0,2,1,0,0,0,2,5.744558230142104e-8
hyena,2,0,2,1,0,0,1,0,5.744558230142104e-8
hyena,2,0,2,1,0,0,1,1,5.744558230142104e-8
hyena,2,0,2,1,0,0,1,2,5.744558230142104e-8
hyena,2,0,2,1,0,0,2,0,5.744558230142104e-8
hyena,2,0,2,1,0,0,2,1,5.744558230142104e-8
hyena,2,0,2,1,0,0,2,2,5.744558230142104e-8
hyena,2,0,2,1,0,1,0,0,5.744558230142104e-8
hyena,2,0,2,1,0,1,0,1,5.744558230142104e-8
hyena,2,0,2,1,0,1,0,2,5.744558230142104e-8
hyena,2,0,2,1,0,1,1,0,5.744558230142104e-8
hyena,2,0,2,1,0,1,1,1,5.744558230142104e-8
hyena,2,0,2,1,0,1,1,2,5.744558230142104e-8
hyena,2,0,2,1,0,1,2,0,5.744558230142104e-8
hyena,2,0,2,1,0,1,2,1,5.744558230142104e-8
hyena,2,0,2,1,0,1,2,2,5.744558230142104e-8
hyena,2,0,2,1,0,2,0,0,5.744558230142104e-8
hyena,2,0,2,1,0,2,0,1,5.744558230142104e-8
hyena,2,0,2,1,0,2,0,2,5.744558230142104e-8
hyena,2,0,2,1,0,2,1,0,5.744558230142104e-8
hyena,2,0,2,1,0,2,1,1,5.744558230142104e-8
hyena,2,0,2,1,0,2,1,2,5.744558230142104e-8
hyena,2,0,2,1,0,2,2,0,5.744558230142104e-8
hyena,2,0,2,1,0,2,2,1,5.744558230142104e-8
hyena,2,0,2,1,0,2,2,2,5.744558230142104e-8
hyena,2,0,2,1,1,0,0,0,5.744558230142104e-8
hyena,2,0,2,1,1,0,0,1,5.744558230142104e-8
hyena,2,0,2,1,1,0,0,2,5.744558230142104e-8
hyena,2,0,2,1,1,0,1,0,5.744558230142104e-8
hyena,2,0,2,1,1,0,1,1,5.744558230142104e-8
hyena,2,0,2,1,1,0,1,2,5.744558230142104e-8
hyena,2,0,2,1,1,0,2,0,5.744558230142104e-8
hyena,2,0,2,1,1,0,2,1,5.744558230142104e-8
hyena,2,0,2,1,1,0,2,2,5.744558230142104e-8
hyena,2,0,2,1,1,1,0,0,5.744558230142104e-8
hyena,2,0,2,1,1,1,0,1,5.744558230142104e-8
hyena,2,0,2,1,1,1,0,2,5.744558230142104e-8
hyena,2,0,2,1,1,1,1,0,5.744558230142104e-8
hyena,2,0,2,1,1,1,1,1,5.744558230142104e-8
hyena,2,0,2,1,1,1,1,2,5.744558230142104e-8
hyena,2,0,2,1,1,1,2,0,5.744558230142104e-8
hyena,2,0,2,1,1,1,2,1,5.744558230142104e-8
hyena,2,0,2,1,1,1,2,2,5.744558230142104e-8
hyena,2,0,2,1,1,2,0,0,5.744558230142104e-8
hyena,2,0,2,1,1,2,0,1,5.744558230142104e-8
hyena,2,0,2,1,1,2,0,2,5.744558230142104e-8
hyena,2,0,2,1,1,2,1,0,5.744558230142104e-8
hyena,2,0,2,1,1,2,1,1,5.744558230142104e-8
hyena,2,0,2,1,1,2,1,2,5.744558230142104e-8
hyena,2,0,2,1,1,2,2,0,5.744558230142104e-8
hyena,2,0,2,1,1,2,2,1,5.744558230142104e-8
hyena,2,0,2,1,1,2,2,2,5.744558230142104e-8
hyena,2,0,2,1,2,0,0,0,5.744558230142104e-8
hyena,2,0,2,1,2,0,0,1,5.744558230142104e-8
hyena,2,0,2,1,2,0,0,2,5.744558230142104e-8
hyena,2,0,2,1,2,0,1,0,5.744558230142104e-8
hyena,2,0,2,1,2,0,1,1,5.744558230142104e-8
hyena,2,0,2,1,2,0,1,2,5.744558230142104e-8
hyena,2,0,2,1,2,0,2,0,5.744558230142104e-8
hyena,2,0,2,1,2,0,2,1,5.744558230142104e-8
hyena,2,0,2,1,2,0,2,2,5.744558230142104e-8
hyena,2,0,2,1,2,1,0,0,5.744558230142104e-8
hyena,2,0,2,1,2,1,0,1,5.744558230142104e-8
hyena,2,0,2,1,2,1,0,2,5.744558230142104e-8
hyena,2,0,2,1,2,1,1,0,5.744558230142104e-8
hyena,2,0,2,1,2,1,1,1,5.744558230142104e-8
hyena,2,0,2,1,2,1,1,2,5.744558230142104e-8
hyena,2,0,2,1,2,1,2,0,5.744558230142104e-8
hyena,2,0,2,1,2,1,2,1,5.744558230142104e-8
hyena,2,0,2,1,2,1,2,2,5.744558230142104e-8
hyena,2,0,2,1,2,2,0,0,5.744558230142104e-8
hyena,2,0,2,1,2,2,0,1,5.744558230142104e-8
hyena,2,0,2,1,2,2,0,2,5.744558230142104e-8
hyena,2,0,2,1,2,2,1,0,5.744558230142104e-8
hyena,2,0,2,1,2,2,1,1,5.744558230142104e-8
hyena,2,0,2,1,2,2,1,2,5.744558230142104e-8
hyena,2,0,2,1,2,2,2,0,5.744558230142104e-8
hyena,2,0,2,1,2,2,2,1,5.744558230142104e-8
hyena,2,0,2,1,2,2,2,2,5.744558230142104e-8
hyena,2,0,2,2,0,0,0,0,5.744558230142104e-8
hyena,2,0,2,2,0,0,0,1,5.744558230142104e-8
hyena,2,0,2,2,0,0,0,2,5.744558230142104e-8
hyena,2,0,2,2,0,0,1,0,5.744558230142104e-8
hyena,2,0,2,2,0,0,1,1,5.744558230142104e-8
hyena,2,0,2,2,0,0,1,2,5.744558230142104e-8
hyena,2,0,2,2,0,0,2,0,5.744558230142104e-8
hyena,2,0,2,2,0,0,2,1,5.744558230142104e-8
hyena,2,0,2,2,0,0,2,2,5.744558230142104e-8
hyena,2,0,2,2,0,1,0,0,5.744558230142104e-8
hyena,2,0,2,2,0,1,0,1,5.744558230142104e-8
hyena,2,0,2,2,0,1,0,2,5.744558230142104e-8
hyena,2,0,2,2,0,1,1,0,5.744558230142104e-8
hyena,2,0,2,2,0,1,1,1,5.744558230142104e-8
hyena,2,0,2,2,0,1,1,2,5.744558230142104e-8
hyena,2,0,2,2,0,1,2,0,5.744558230142104e-8
hyena,2,0,2,2,0,1,2,1,5.744558230142104e-8
hyena,2,0,2,2,0,1,2,2,5.744558230142104e-8
hyena,2,0,2,2,0,2,0,0,5.744558230142104e-8
hyena,2,0,2,2,0,2,0,1,5.744558230142104e-8
hyena,2,0,2,2,0,2,0,2,5.744558230142104e-8
hyena,2,0,2,2,0,2,1,0,5.744558230142104e-8
hyena,2,0,2,2,0,2,1,1,5.744558230142104e-8
hyena,2,0,2,2,0,2,1,2,5.744558230142104e-8
hyena,2,0,2,2,0,2,2,0,5.744558230142104e-8
hyena,2,0,2,2,0,2,2,1,5.744558230142104e-8
hyena,2,0,2,2,0,2,2,2,5.744558230142104e-8
hyena,2,0,2,2,1,0,0,0,5.744558230142104e-8
hyena,2,0,2,2,1,0,0,1,5.744558230142104e-8
hyena,2,0,2,2,1,0,0,2,5.744558230142104e-8
hyena,2,0,2,2,1,0,1,0,5.744558230142104e-8
hyena,2,0,2,2,1,0,1,1,5.744558230142104e-8
hyena,2,0,2,2,1,0,1,2,5.744558230142104e-8
hyena,2,0,2,2,1,0,2,0,5.744558230142104e-8
hyena,2,0,2,2,1,0,2,1,5.744558230142104e-8
hyena,2,0,2,2,1,0,2,2,5.744558230142104e-8
hyena,2,0,2,2,1,1,0,0,5.744558230142104e-8
hyena,2,0,2,2,1,1,0,1,5.744558230142104e-8
hyena,2,0,2,2,1,1,0,2,5.744558230142104e-8
hyena,2,0,2,2,1,1,1,0,5.744558230142104e-8
hyena,2,0,2,2,1,1,1,1,5.744558230142104e-8
hyena,2,0,2,2,1,1,1,2,5.744558230142104e-8
hyena,2,0,2,2,1,1,2,0,5.744558230142104e-8
hyena,2,0,2,2,1,1,2,1,5.744558230142104e-8
hyena,2,0,2,2,1,1,2,2,5.744558230142104e-8
hyena,2,0,2,2,1,2,0,0,5.744558230142104e-8
hyena,2,0,2,2,1,2,0,1,5.744558230142104e-8
hyena,2,0,2,2,1,2,0,2,5.744558230142104e-8
hyena,2,0,2,2,1,2,1,0,5.744558230142104e-8
hyena,2,0,2,2,1,2,1,1,5.744558230142104e-8
hyena,2,0,2,2,1,2,1,2,5.744558230142104e-8
hyena,2,0,2,2,1,2,2,0,5.744558230142104e-8
hyena,2,0,2,2,1,2,2,1,5.744558230142104e-8
hyena,2,0,2,2,1,2,2,2,5.744558230142104e-8
hyena,2,0,2,2,2,0,0,0,5.744558230142104e-8
hyena,2,0,2,2,2,0,0,1,5.744558230142104e-8
hyena,2,0,2,2,2,0,0,2,5.744558230142104e-8
hyena,2,0,2,2,2,0,1,0,5.744558230142104e-8
hyena,2,0,2,2,2,0,1,1,5.744558230142104e-8
hyena,2,0,2,2,2,0,1,2,5.744558230142104e-8
hyena,2,0,2,2,2,0,2,0,5.744558230142104e-8
hyena,2,0,2,2,2,0,2,1,5.744558230142104e-8
hyena,2,0,2,2,2,0,2,2,5.744558230142104e-8
hyena,2,0,2,2,2,1,0,0,5.744558230142104e-8
hyena,2,0,2,2,2,1,0,1,5.744558230142104e-8
hyena,2,0,2,2,2,1,0,2,5.744558230142104e-8
hyena,2,0,2,2,2,1,1,0,5.744558230142104e-8
hyena,2,0,2,2,2,1,1,1,5.744558230142104e-8
hyena,2,0,2,2,2,1,1,2,5.744558230142104e-8
hyena,2,0,2,2,2,1,2,0,5.744558230142104e-8
hyena,2,0,2,2,2,1,2,1,5.744558230142104e-8
hyena,2,0,2,2,2,1,2,2,5.744558230142104e-8
hyena,2,0,2,2,2,2,0,0,5.744558230142104e-8
hyena,2,0,2,2,2,2,0,1,5.744558230142104e-8
hyena,2,0,2,2,2,2,0,2,5.744558230142104e-8
hyena,2,0,2,2,2,2,1,0,5.744558230142104e-8
hyena,2,0,2,2,2,2,1,1,5.744558230142104e-8
hyena,2,0,2,2,2,2,1,2,5.744558230142104e-8
hyena,2,0,2,2,2,2,2,0,5.744558230142104e-8
hyena,2,0,2,2,2,2,2,1,5.744558230142104e-8
hyena,2,0,2,2,2,2,2,2,5.744558230142104e-8
hyena,2,1,0,0,0,0,0,0,3.5891008878708793e-7
hyena,2,1,0,0,0,0,0,1,3.5891008878708793e-7
hyena,2,1,0,0,0,0,0,2,3.5891008878708793e-7
hyena,2,1,0,0,0,0,1,0,3.5891008878708793e-7
hyena,2,1,0,0,0,0,1,1,3.5891008878708793e-7
hyena,2,1,0,0,0,0,1,2,3.5891008878708793e-7
hyena,2,1,0,0,0,0,2,0,3.5891008878708793e-7
hyena,2,1,0,0,0,0,2,1,3.5891008878708793e-7
hyena,2,1,0,0,0,0,2,2,3.5891008878708793e-7
hyena,2,1,0,0,0,1,0,0,3.5891008878708793e-7
hyena,2,1,0,0,0,1,0,1,3.5891008878708793e-7
hyena,2,1,0,0,0,1,0,2,3.5891008878708793e-7
hyena,2,1,0,0,0,1,1,0,3.5891008878708793e-7
hyena,2,1,0,0,0,1,1,1,3.5891008878708793e-7
hyena,2,1,0,0,0,1,1,2,3.5891008878708793e-7
hyena,2,1,0,0,0,1,2,0,3.5891008878708793e-7
hyena,2,1,0,0,0,1,2,1,3.5891008878708793e-7
hyena,2,1,0,0,0,1,2,2,3.5891008878708793e-7
hyena,2,1,0,0,0,2,0,0,3.5891008878708793e-7
hyena,2,1,0,0,0,2,0,1,3.5891008878708793e-7
hyena,2,1,0,0,0,2,0,2,3.5891008878708793e-7
hyena,2,1,0,0,0,2,1,0,3.5891008878708793e-7
hyena,2,1,0,0,0,2,1,1,3.5891008878708793e-7
